id;task_title;founder;start_time;end_time;importance;complexity;task_annex;star;status;operating;create_time
1;Cambridgeshire;Generic Metal Gloves Administrator Devolved;2020-05-09T04:44:01;2020-05-09T06:21:24;virtual;Intelligent;Convertible Marks Home Loan Account invoice;open-source;orange Soap;Suriname models;2020-05-09T05:00:38
2;AI Ports pink;Iraq Buckinghamshire;2020-05-09T03:54:09;2020-05-08T14:32:28;parse Computers;Granite synergies;logistical synthesize Concrete;Savings Account access;Pre-emptive Officer primary;Sleek Cotton Computer intermediate withdrawal;2020-05-08T20:09:50
3;asynchronous Shoes Wooden;customer loyalty alarm Station;2020-05-08T23:07:35;2020-05-08T17:24:36;RSS extend;Direct Security bluetooth;Quality;markets Extended programming;Triple-buffered;Stream withdrawal withdrawal;2020-05-08T10:39:54
4;deposit Personal Loan Account;Motorway;2020-05-08T10:58:08;2020-05-09T04:32:37;matrix;bandwidth Small Steel Computer;alarm Licensed Steel Computer Books;Buckinghamshire facilitate Green;holistic reboot invoice;e-business;2020-05-08T22:15:24
5;Northern Mariana Islands;bypass full-range Movies;2020-05-09T06:10:32;2020-05-08T19:47:46;Product 1080p Pre-emptive;whiteboard red Concrete;reciprocal Generic Frozen Hat;Unbranded Frozen Gloves back-end;Wall;Investment Account;2020-05-08T18:10:11
6;generate bluetooth deposit;Incredible Wooden Sausages;2020-05-08T17:46:59;2020-05-09T02:45:25;seize;Japan maximize;Response;Research;tan TCP invoice;New Taiwan Dollar;2020-05-09T00:32:30
7;IB Universal Egypt;override Wall;2020-05-08T11:56:24;2020-05-08T14:11:29;Rhode Island Tuna Intelligent Plastic Towels;Engineer Operations Handmade Wooden Computer;Saint Helena Pound;parsing;Borders;copying;2020-05-08T14:33:38
8;Saint Lucia Pennsylvania;Money Market Account Awesome;2020-05-09T04:30:36;2020-05-08T15:36:53;COM;PNG initiatives;Overpass;open-source;circuit Engineer Intelligent;SAS deposit;2020-05-09T00:41:08
9;input generating;magenta dynamic;2020-05-08T13:20:13;2020-05-08T19:13:09;Albania synthesizing;Sports back up ivory;navigate Croatian Kuna hack;implementation XML Liaison;deploy payment;SSL Savings Account reintermediate;2020-05-08T22:14:41
10;Costa Rican Colon;Kids;2020-05-09T04:08:33;2020-05-08T23:36:57;cross-platform;engage;Mission payment Ergonomic Rubber Bike;Kwacha Generic Granite Chicken;multi-byte 3rd generation;initiative deposit Car;2020-05-08T15:27:28
